Date,Name / Description,Expense/Income,Amount (EUR)
2024-02-27,Online Subscription Renewal,Expense,19.99
2024-02-26,Electronics Store Purchase,Expense,180.25
2024-02-25,Utilities Bill,Expense,105.43
2024-02-24,Salary,Income,1750.00
2024-02-23,Home Maintenance,Expense,150.00
2024-02-22,Online Course Enrollment,Expense,49.99
2024-02-21,Consulting,Income,890.30
2024-02-20,Gym Membership Renewal,Expense,40.00
2024-02-19,Shopping Spree,Expense,120.50
2024-02-18,Medical Appointment,Expense,85.00
2024-02-17,Internet Bill,Expense,55.67
2024-02-16,Salary,Income,1900.00
2024-02-15,Bookstore Purchase,Expense,28.75
2024-02-14,Valentine's Day Dinner,Expense,80.00
2024-02-13,Clothing Store Purchase,Expense,67.89
2024-02-12,Consulting,Income,810.20
2024-02-11,Movie Night,Expense,20.50
2024-02-10,Monthly Rent,Expense,920.00
2024-02-09,Restaurant Lunch,Expense,25.75
2024-02-08,Online Subscription,Expense,14.99
2024-02-07,Salary,Income,1650.00
2024-02-06,Home Repairs,Expense,180.00
2024-02-05,Car Maintenance,Expense,120.50
2024-02-04,Consulting,Income,725.50
2024-02-03,Grocery Shopping,Expense,98.34
2024-02-02,Utilities Bill,Expense,88.99
2024-02-01,Online Course Subscription,Expense,39.99
2024-01-31,Salary,Income,1800.00
2024-01-30,Movie Theater Tickets,Expense,24.00
2024-01-29,Consulting,Income,870.30
2024-01-28,Restaurant Dinner,Expense,70.80
2024-01-27,Public Transportation,Expense,50.00
2024-01-26,Home Insurance Premium,Expense,130.00
2024-01-25,Electronics Store Purchase,Expense,210.25
2024-01-24,Salary,Income,1700.00
2024-01-23,Gym Membership Fee,Expense,45.00
2024-01-22,Online Gaming Subscription,Expense,17.99
2024-01-21,Consulting,Income,910.20
2024-01-20,Medical Appointment,Expense,95.00
2024-01-19,Coffee Shop Visit,Expense,5.00
2024-01-18,Home Maintenance,Expense,140.00
2024-01-17,Online Shopping,Expense,75.50
2024-01-16,Salary,Income,1850.00
2024-01-15,Utility Bill,Expense,75.67
2024-01-14,Car Fuel,Expense,70.45
2024-01-13,Consulting,Income,850.50
2024-01-12,Movie Night,Expense,16.75
2024-01-11,Restaurant Lunch,Expense,22.50
2024-01-10,Monthly Rent,Expense,930.00
2024-01-09,Online Subscription Renewal,Expense,12.99
2024-01-08,Salary,Income,1600.00
2024-01-07,Bookstore Purchase,Expense,32.50
2024-01-06,Clothing Store Purchase,Expense,80.00
2024-01-05,Consulting,Income,780.20
2024-01-04,Internet Bill,Expense,60.67
2024-01-03,Grocery Shopping,Expense,84.34
2024-01-02,Home Repairs,Expense,175.00
2024-01-01,New Year's Eve Party,Expense,100.00
2023-12-31,Salary,Income,1750.00
2023-12-30,Consulting,Income,890.20
2023-12-29,Car Insurance Premium,Expense,140.00
2023-12-28,Online Course Enrollment,Expense,59.99
2023-12-27,Movie Theater Tickets,Expense,26.50
2023-12-26,Home Insurance Renewal,Expense,125.00
2023-12-25,Christmas Dinner,Expense,85.00
2023-12-24,Consulting,Income,820.50
2023-12-23,Online Gaming Subscription,Expense,19.99
2023-12-22,Gift Shopping,Expense,120.00
2023-12-21,Salary,Income,1800.00
2023-12-20,Public Transportation,Expense,55.00
2023-12-19,Restaurant Dinner,Expense,75.80
2023-12-18,Utilities Bill,Expense,85.67
2023-12-17,Consulting,Income,950.30
2023-12-16,Online Shopping,Expense,70.50
2023-12-15,Car Maintenance,Expense,110.50
2023-12-14,Medical Appointment,Expense,80.00
2023-12-13,Salary,Income,1650.00
2023-12-12,Movie Night,Expense,18.75
2023-12-11,Online Subscription,Expense,14.99
2023-12-10,Monthly Rent,Expense,910.00
2023-12-09,Grocery Shopping,Expense,88.34
2023-12-08,Consulting,Income,890.20
2023-12-07,Home Repairs,Expense,185.00
2023-12-06,Clothing Store Purchase,Expense,75.00
2023-12-05,Internet Bill,Expense,65.67
2023-12-04,Salary,Income,1700.00
2023-12-03,Bookstore Purchase,Expense,30.50
2023-12-02,Restaurant Lunch,Expense,28.75
2023-12-01,Consulting,Income,820.50
2023-11-30,Utility Bill,Expense,70.67
2023-11-29,Car Fuel,Expense,65.45
2023-11-28,Online Course Subscription,Expense,37.99
2023-11-27,Salary,Income,1850.00
2023-11-26,Home Insurance Premium,Expense,120.00
2023-11-25,Public Transportation,Expense,48.00
2023-11-24,Consulting,Income,930.20
2023-11-23,Movie Theater Tickets,Expense,22.50
2023-11-22,Gym Membership Fee,Expense,50.00
2023-11-21,Online Gaming Subscription,Expense,16.99
2023-11-20,Salary,Income,1750.00
2023-11-19,Restaurant Dinner,Expense,65.80
2023-11-18,Home Maintenance,Expense,130.00
2023-11-17,Consulting,Income,910.20
2023-11-16,Movie Night,Expense,20.75
2023-11-15,Car Insurance Premium,Expense,135.00
2023-11-14,Online Shopping,Expense,72.50
2023-11-13,Salary,Income,1800.00
2023-11-12,Utility Bill,Expense,80.67
2023-11-11,Bookstore Purchase,Expense,27.50
2023-11-10,Consulting,Income,850.50
2023-11-09,Home Repairs,Expense,160.00
2023-11-08,Online Subscription Renewal,Expense,11.99
2023-11-07,Grocery Shopping,Expense,95.34
2023-11-06,Salary,Income,1900.00
2023-11-05,Internet Bill,Expense,50.67
2023-11-04,Restaurant Lunch,Expense,26.75
2023-11-03,Consulting,Income,870.20
2023-11-02,Clothing Store Purchase,Expense,78.00
2023-11-01,Monthly Rent,Expense,920.00
2023-10-31,Movie Theater Tickets,Expense,21.50
2023-10-30,Car Fuel,Expense,68.45
2023-10-29,Online Course Enrollment,Expense,44.99
2023-10-28,Salary,Income,1650.00
2023-10-27,Consulting,Income,890.20
2023-10-26,Home Insurance Renewal,Expense,135.00
2023-10-25,Public Transportation,Expense,52.00
2023-10-24,Electronics Store Purchase,Expense,215.25
2023-10-23,Utility Bill,Expense,85.67
2023-10-22,Consulting,Income,920.50
2023-10-21,Movie Night,Expense,19.75
2023-10-20,Restaurant Dinner,Expense,70.80
2023-10-19,Gym Membership Fee,Expense,55.00
2023-10-18,Salary,Income,1800.00
2023-10-17,Online Gaming Subscription,Expense,18.99
2023-10-16,Home Maintenance,Expense,145.00
2023-10-15,Consulting,Income,870.20
2023-10-14,Bookstore Purchase,Expense,31.50
2023-10-13,Online Shopping,Expense,68.50
2023-10-12,Car Insurance Premium,Expense,130.00
2023-10-11,Salary,Income,1850.00
2023-10-10,Utility Bill,Expense,90.67

